iteration,pci_total_us,pci_transport_us,net_state_us,rx_rate_limiter_us,tx_rate_limiter_us,mmds_routing_us,build_queues_us,buffer_reset_us,reapply_activation_us
1,454.609,66.766,380.646,8.458,2.222,0.000,38.923,223.411,37.550
2,260.559,47.848,207.306,7.941,1.662,0.000,31.962,124.115,15.828
3,238.676,38.076,195.193,9.054,1.449,0.000,29.859,109.997,15.910
4,350.299,61.596,280.474,9.044,2.002,0.000,58.504,144.748,23.699
5,218.690,42.405,170.863,7.700,1.556,0.000,27.364,96.909,13.208
6,313.032,54.111,250.969,9.488,2.099,0.000,39.243,142.493,23.030
7,307.438,50.992,248.838,8.496,2.041,0.000,38.651,129.491,23.208
8,258.441,53.596,199.581,7.964,1.450,8.434,30.672,109.251,14.631
9,258.070,47.398,205.201,9.013,1.540,0.000,32.606,119.245,16.037
10,292.333,52.969,231.800,8.012,2.001,0.000,39.254,125.724,23.313
11,242.980,46.413,190.918,9.299,1.610,0.000,30.415,109.238,14.723
12,238.267,45.597,187.205,8.595,1.570,0.000,30.101,108.821,14.362
13,236.563,44.433,186.627,8.172,1.590,0.000,27.877,109.066,14.673
14,244.283,48.914,189.310,8.486,1.737,0.000,30.061,109.736,14.454
15,327.732,58.859,260.634,10.819,2.018,0.000,44.444,140.933,24.649
16,328.451,60.087,260.066,9.786,2.057,0.000,43.248,146.917,24.321
17,312.073,56.189,246.997,10.036,2.407,0.000,43.851,131.709,23.877
18,286.950,47.706,231.839,9.436,2.052,0.000,41.936,120.316,24.466
19,219.430,34.141,180.098,7.274,1.464,0.000,26.951,104.592,14.292
20,257.306,46.998,204.684,8.491,1.539,0.000,29.477,114.274,14.575
21,229.377,41.446,183.143,7.438,1.506,0.000,27.072,107.737,14.293
22,332.641,68.157,256.791,9.453,1.787,0.000,41.967,143.600,24.607
23,287.877,52.670,227.699,9.314,1.944,0.000,40.982,119.848,23.106
24,231.969,52.175,174.325,9.830,1.586,0.000,31.399,93.703,14.342
25,239.158,40.977,192.702,8.565,1.748,0.000,34.451,107.928,15.363
26,240.757,45.341,189.610,9.519,1.473,0.000,31.959,107.114,14.732
27,321.699,57.330,255.945,9.224,2.011,0.000,45.160,138.285,24.209
28,325.788,64.411,252.732,8.751,2.128,0.000,43.648,138.322,24.146
29,309.049,63.111,237.346,9.271,2.233,0.000,40.103,126.284,24.411
30,313.222,69.510,235.393,8.642,2.069,0.000,37.136,123.982,23.886
