iteration,reset_total_us,mmio_total_us,mmio_transport_us,mmio_net_state_us
1,8853.000,203.840,.772,198.390
2,9640.000,282.281,.815,274.059
3,9488.000,209.974,1.219,203.122
4,8899.000,216.734,.806,210.551
5,8398.000,204.210,.777,198.511
6,10091.000,220.427,1.040,213.471
7,9203.000,189.011,.509,183.401
8,9189.000,361.431,.814,353.607
9,9288.000,202.540,1.278,195.674
10,9271.000,213.893,1.337,206.413
11,9866.000,270.952,.789,262.871
12,9166.000,214.786,1.208,207.666
13,9861.000,201.934,.943,195.029
14,9552.000,269.308,.891,260.889
15,9901.000,257.656,.673,249.402
16,9149.000,220.549,1.291,213.059
17,11936.000,339.737,.850,315.951
18,9001.000,220.905,.830,214.732
19,11273.000,310.521,.844,301.510
20,9320.000,193.194,.771,187.053
21,10170.000,212.468,1.307,205.669
22,9637.000,246.508,.597,238.448
23,8909.000,199.144,.797,193.253
24,9571.000,197.467,.913,191.548
25,10040.000,267.453,1.066,258.988
26,7843.000,200.216,.820,194.883
27,10421.000,235.657,1.314,228.205
28,10894.000,288.551,.752,279.599
29,9113.000,275.067,1.083,266.491
30,9095.000,203.288,.526,198.160
